Id,Name,Extension,Type1,Type2,Path,DateCreated,DateModified,DateAccessed,HashMD5,Size,Deleted
,modoc.sdf,SDF,Unknown,Unknown,home/gnrpc/demo_files/,"2019-11-13 12:52:12","2019-11-13 12:52:12","2019-11-13 12:52:12","",4095,0
,who.cfg,CFG,"System File",Data,home/gnrpc/demo_files/,"2019-11-13 12:52:14","2019-11-13 12:52:14","2019-11-13 12:52:14","",3569,0
,amador.vcf,VCF,Unknown,Unknown,home/gnrpc/demo_files/,"2019-11-13 12:52:13","2019-11-13 12:52:13","2019-11-13 12:52:13","",5545,0
,financial.pdb,PDB,Unknown,Unknown,home/gnrpc/demo_files/,"2019-11-13 12:52:12","2019-11-13 12:52:12","2019-11-13 12:52:12","",1235,0
,share.pptx,PPTX,"Document File",Presentation,home/gnrpc/demo_files/,"2019-11-13 12:52:12","2019-11-13 12:52:12","2019-11-13 12:52:12","",4982,0
,yelp.aspx,ASPX,"Internet File",Data,home/gnrpc/demo_files/,"2019-11-13 12:52:15","2019-11-13 12:52:15","2019-11-13 12:52:15","",533,0
,busctl.com,COM,Executable,Data,home/gnrpc/demo_files/,"2019-11-13 12:52:14","2019-11-13 12:52:14","2019-11-13 12:52:14","",1293,0
,bsd-write.tin,TIN,Unknown,Unknown,home/gnrpc/demo_files/,"2019-11-13 12:52:15","2019-11-13 12:52:15","2019-11-13 12:52:15","",5113,0
,san_joaquin.indd,INDD,Unknown,Unknown,home/gnrpc/demo_files/,"2019-11-13 12:52:12","2019-11-13 12:52:12","2019-11-13 12:52:12","",9942,0
,ippfind.rpm,RPM,Archive,Data,home/gnrpc/demo_files/,"2019-11-13 12:52:16","2019-11-13 12:52:16","2019-11-13 12:52:16","",1127,0
,cut.mpg,MPG,"Media File",Video,home/gnrpc/demo_files/,"2019-11-13 12:52:15","2019-11-13 12:52:15","2019-11-13 12:52:15","",1530,0
,san_bernardino.db,DB,"Data Source",Database,home/gnrpc/demo_files/,"2019-11-13 12:52:12","2019-11-13 12:52:12","2019-11-13 12:52:12","",7133,0
,san_bernardino.keychain,KEYCHAIN,Unknown,Unknown,home/gnrpc/demo_files/,"2019-11-13 12:52:12","2019-11-13 12:52:12","2019-11-13 12:52:12","",4939,0
,cards.html,HTML,"Internet File",Data,home/gnrpc/demo_files/,"2019-11-13 12:52:12","2019-11-13 12:52:12","2019-11-13 12:52:12","",10204,0
,nproc.ini,INI,"System File",Data,home/gnrpc/demo_files/,"2019-11-13 12:52:15","2019-11-13 12:52:15","2019-11-13 12:52:15","",7626,0
,acpi_listen.cpl,CPL,"System File",Data,home/gnrpc/demo_files/,"2019-11-13 12:52:14","2019-11-13 12:52:14","2019-11-13 12:52:14","",4324,0
,placer.tex,TEX,"Document File",Unknown,home/gnrpc/demo_files/,"2019-11-13 12:52:12","2019-11-13 12:52:12","2019-11-13 12:52:12","",9659,0
,system.bmp,BMP,"Media File",Image,home/gnrpc/demo_files/,"2019-11-13 12:52:14","2019-11-13 12:52:14","2019-11-13 12:52:14","",8602,0
,ps2ascii.cpp,CPP,"Code File",Data,home/gnrpc/demo_files/,"2019-11-13 12:52:14","2019-11-13 12:52:14","2019-11-13 12:52:14","",9701,0
,pin.xml,XML,"Data Source",Database,home/gnrpc/demo_files/,"2019-11-13 12:52:12","2019-11-13 12:52:12","2019-11-13 12:52:12","",6318,0
,log.rar,RAR,Archive,Data,home/gnrpc/demo_files/,"2019-11-13 12:52:13","2019-11-13 12:52:13","2019-11-13 12:52:13","",7068,0
,mono.db,DB,"Data Source",Database,home/gnrpc/demo_files/,"2019-11-13 12:52:13","2019-11-13 12:52:13","2019-11-13 12:52:13","",7823,0
,tulare.pps,PPS,"Document File",Presentation,home/gnrpc/demo_files/,"2019-11-13 12:52:12","2019-11-13 12:52:12","2019-11-13 12:52:12","",9946,0
